LOCATION,HARDSHIP
"Census Tract 2, Champaign County, Illinois",37.88 
"Census Tract 3.01, Champaign County, Illinois",32.30 
"Census Tract 3.02, Champaign County, Illinois",24.37 
"Census Tract 4.01, Champaign County, Illinois",36.97 
"Census Tract 4.02, Champaign County, Illinois",29.02 
"Census Tract 5, Champaign County, Illinois",29.79 
"Census Tract 7, Champaign County, Illinois",58.03 
"Census Tract 8, Champaign County, Illinois",31.42 
"Census Tract 9.01, Champaign County, Illinois",47.05 
"Census Tract 9.02, Champaign County, Illinois",37.32 
"Census Tract 10, Champaign County, Illinois",27.20 
"Census Tract 11, Champaign County, Illinois",28.85 
"Census Tract 12.01, Champaign County, Illinois",39.87 
"Census Tract 12.03, Champaign County, Illinois",29.26 
"Census Tract 12.04, Champaign County, Illinois",33.65 
"Census Tract 12.05, Champaign County, Illinois",38.73 
"Census Tract 12.06, Champaign County, Illinois",35.22 
"Census Tract 13.01, Champaign County, Illinois",32.74 
"Census Tract 13.02, Champaign County, Illinois",41.46 
"Census Tract 14, Champaign County, Illinois",22.09 
"Census Tract 53, Champaign County, Illinois",33.30 
"Census Tract 54.01, Champaign County, Illinois",39.58 
"Census Tract 54.02, Champaign County, Illinois",43.99 
"Census Tract 55, Champaign County, Illinois",30.83 
"Census Tract 56, Champaign County, Illinois",37.61 
"Census Tract 57.01, Champaign County, Illinois",42.18 
"Census Tract 57.02, Champaign County, Illinois",32.55 
"Census Tract 58, Champaign County, Illinois",30.18 
"Census Tract 59, Champaign County, Illinois",30.25 
"Census Tract 60, Champaign County, Illinois",17.36 
"Census Tract 101, Champaign County, Illinois",30.14 
"Census Tract 102.04, Champaign County, Illinois",35.43 
"Census Tract 103, Champaign County, Illinois",37.93 
"Census Tract 104, Champaign County, Illinois",31.63 
"Census Tract 105, Champaign County, Illinois",29.65 
"Census Tract 106.01, Champaign County, Illinois",29.83 
"Census Tract 106.03, Champaign County, Illinois",28.38 
"Census Tract 106.04, Champaign County, Illinois",31.13 
"Census Tract 107, Champaign County, Illinois",30.18 
"Census Tract 108, Champaign County, Illinois",33.04 
"Census Tract 109, Champaign County, Illinois",31.18 
"Census Tract 110, Champaign County, Illinois",30.43 
"Census Tract 111, Champaign County, Illinois",23.43 
